ListID,ListName,ItemID,ItemName,LogID,Latitude,Longitude,Altitude,Quantity,Error Radius,Timestamp,Location,Description,Material ID,Material Description
22,Marine Debris Items,183,Lumber/Building Materials,322,27.984854883333,-82.828376483333,-8.8,1,2,20101230135649,"Clearwater, FL",screw,8,PAPER & LUMBER
22,Marine Debris Items,183,Lumber/Building Materials,323,27.984854933333,-82.828376433333,-8.7,1,2,20101230135658,"Clearwater, FL",screw,8,PAPER & LUMBER
22,Marine Debris Items,187,Cigarettes,324,27.9851338,-82.828305566667,0.2,2,2,20101230135830,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,325,27.985478833333,-82.828265833333,0.4,1,2,20101230135932,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,326,27.9854787,-82.828265783333,0.4,1,2,20101230135951,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,327,27.985670116667,-82.828340016667,1.4,1,2,20101230140030,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,174,Aerosol cans,328,27.985746133333,-82.828380066667,1.9,1,2,20101230140105,"Clearwater, FL",,2,METAL
22,Marine Debris Items,207,Straws,329,27.98551195,-82.828573033333,2.6,1,2,20101230140205,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,185,Disposable cigarette lighters,330,27.985228666667,-82.828592783333,2,1,2,20101230140251,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,202,Plastic or Foam Fragments,331,27.98505775,-82.828382966667,3,1,2,20101230140357,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,186,Cigarette or tobacco packaging,332,27.98510605,-82.828461133333,3,1,2,20101230140429,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,333,27.985157483333,-82.8284526,3,1,2,20101230140517,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,207,Straws,334,27.985162216667,-82.828451316667,2.7,1,2,20101230140533,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,335,27.985180516667,-82.828505316667,3.6,1,2,20101230140613,"Clearwater, FL",,4,PLASTIC
22,Marine Debris Items,174,Aerosol cans,336,27.985375783333,-82.828555633333,4,1,2,20101230140717,"Clearwater, FL",electronics piece,2,METAL
22,Marine Debris Items,183,Lumber/Building Materials,337,27.985280433333,-82.828521966667,3.3,1,2,20101230140747,"Clearwater, FL",nail,8,PAPER & LUMBER
